  9809     SPring-8 14b2 
 Cu-K_Cu-foil_S  14.06.25 17:41 - 14.06.25 17:45
 Cu-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 26.09900 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4577
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       26.00000  21.10000    -0.001070       0.05      4577
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   134.300   117.200
  25.48961  25.48867     0.050      1896      8886
  25.48854  25.48748     0.050      1901      8899
  25.48747  25.48629     0.050      1903      8918
  25.48640  25.48513     0.050      1898      8900
  25.48533  25.48403     0.050      1899      8897
  25.48426  25.48300     0.050      1903      8922
  25.48319  25.48205     0.050      1904      8930
  25.48212  25.48112     0.050      1899      8909
  25.48105  25.48016     0.050      1906      8943
  25.47998  25.47909     0.050      1905      8933
  25.47891  25.47789     0.050      1901      8924
  25.47784  25.47670     0.050      1905      8944
  25.47677  25.47551     0.050      1911      8970
  25.47570  25.47439     0.050      1903      8941
  25.47463  25.47333     0.050      1907      8951
  25.47356  25.47235     0.050      1912      8982
  25.47249  25.47143     0.050      1909      8965
  25.47142  25.47048     0.050      1908      8964
  25.47035  25.46945     0.050      1912      8983
  25.46928  25.46828     0.050      1917      9009
  25.46821  25.46709     0.050      1915      8999
  25.46714  25.46591     0.050      1917      9008
  25.46607  25.46476     0.050      1922      9039
  25.46500  25.46369     0.050      1917      9008
  25.46393  25.46268     0.050      1915      9006
  25.46286  25.46176     0.050      1922      9039
  25.46179  25.46083     0.050      1917      9020
  25.46072  25.45984     0.050      1914      9017
  25.45965  25.45872     0.050      1920      9038
  25.45858  25.45753     0.050      1922      9038
  25.45751  25.45634     0.050      1918      9025
  25.45644  25.45516     0.050      1921      9043
  25.45537  25.45406     0.050      1926      9065
  25.45430  25.45303     0.050      1924      9053
  25.45323  25.45208     0.050      1923      9058
  25.45216  25.45116     0.050      1927      9083
  25.45109  25.45019     0.050      1928      9072
  25.45002  25.44912     0.050      1923      9072
  25.44895  25.44792     0.050      1929      9086
  25.44788  25.44673     0.050      1934      9104
  25.44681  25.44554     0.050      1928      9095
  25.44574  25.44442     0.050      1929      9090
  25.44467  25.44335     0.050      1934      9110
  25.44360  25.44237     0.050      1930      9110
  25.44253  25.44145     0.050      1928      9098
  25.44146  25.44051     0.050      1933      9118
  25.44039  25.43948     0.050      1932      9113
  25.43932  25.43832     0.050      1928      9098
  25.43825  25.43713     0.050      1939      9149
  25.43718  25.43594     0.050      1938      9146
  25.43611  25.43480     0.050      1934      9132
  25.43504  25.43372     0.050      1936      9142
  25.43397  25.43271     0.050      1943      9174
  25.43290  25.43178     0.050      1939      9154
  25.43183  25.43086     0.050      1938      9155
  25.43076  25.42987     0.050      1943      9179
  25.42969  25.42875     0.050      1940      9170
  25.42862  25.42755     0.050      1938      9164
  25.42755  25.42635     0.050      1942      9190
  25.42648  25.42518     0.050      1949      9204
  25.42541  25.42408     0.050      1944      9186
  25.42434  25.42304     0.050      1947      9213
  25.42327  25.42208     0.050      1950      9226
  25.42220  25.42116     0.050      1949      9220
  25.42113  25.42019     0.050      1947      9210
  25.42006  25.41912     0.050      1951      9236
