  9809     SPring-8 14b2 
 Pb-L21_PbTe_Si  21.02.10 08:03 - 21.02.10 08:09
 PbTe                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 14.92483 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6727
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.74500  12.58000    -0.000330       0.05      6727
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   229.200   251.100   177.000
  14.66415  14.68103     0.050     29928     26395      3389
  14.66382  14.68071     0.050     29913     26388      3386
  14.66349  14.68041     0.050     29922     26410      3387
  14.66316  14.68012     0.050     29891     26386      3386
  14.66283  14.67985     0.050     29911     26397      3389
  14.66250  14.67959     0.050     29911     26418      3391
  14.66217  14.67934     0.050     29865     26377      3383
  14.66184  14.67907     0.050     29897     26406      3390
  14.66151  14.67881     0.050     29900     26412      3390
  14.66118  14.67854     0.050     29864     26375      3390
  14.66085  14.67826     0.050     29881     26395      3391
  14.66052  14.67798     0.050     29897     26414      3393
  14.66019  14.67770     0.050     29890     26410      3393
  14.65986  14.67742     0.050     29869     26403      3389
  14.65953  14.67714     0.050     29866     26405      3393
  14.65920  14.67683     0.050     29867     26399      3394
  14.65887  14.67649     0.050     29867     26405      3394
  14.65854  14.67613     0.050     29864     26401      3395
  14.65821  14.67575     0.050     29849     26385      3392
  14.65788  14.67539     0.050     29864     26413      3397
  14.65755  14.67505     0.050     29832     26389      3398
  14.65722  14.67471     0.050     29844     26419      3398
  14.65689  14.67437     0.050     29858     26421      3403
  14.65656  14.67403     0.050     29846     26414      3400
  14.65623  14.67367     0.050     29863     26430      3399
  14.65590  14.67331     0.050     29855     26443      3399
  14.65557  14.67296     0.050     29831     26431      3400
  14.65524  14.67262     0.050     29848     26426      3402
  14.65491  14.67230     0.050     29841     26426      3403
  14.65458  14.67199     0.050     29829     26430      3402
  14.65425  14.67167     0.050     29846     26430      3401
  14.65392  14.67136     0.050     29862     26457      3407
  14.65359  14.67105     0.050     29832     26440      3406
  14.65326  14.67073     0.050     29816     26425      3403
  14.65293  14.67043     0.050     29835     26441      3404
  14.65260  14.67014     0.050     29826     26440      3408
  14.65227  14.66986     0.050     29834     26455      3411
  14.65194  14.66960     0.050     29821     26455      3408
  14.65161  14.66934     0.050     29831     26446      3408
  14.65128  14.66908     0.050     29834     26472      3410
  14.65095  14.66882     0.050     29811     26443      3409
